[310.8587570613421, -415.0535593210695, -0.39265897399656513]
[311.90811174611883, -415.4617767990181, -0.5880844038760518]
[315.0778658494916, -416.69573209578226, -1.1827777812922626]
[320.43392555240246, -418.78371357137854, -2.2024225824248993]
[328.08896280463415, -421.77415461507036, -3.69129223791854]
[338.20680459811877, -425.737633619479, -5.71454655921086]
[351.0088755210447, -430.76981666221724, -8.361642059339161]
[366.78300007667673, -436.99549242883484, -11.751059991360549]
[385.89496665705866, -444.5738949922065, -16.036631701833787]
[408.80334940538, -453.70555974939543, -21.415814698738682]
[436.0781644969564, -464.6410018022889, -28.14035829332659]
[468.4239794814562, -477.69153547715416, -36.52986561096053]
[506.70806051496277, -493.2425496774316, -46.98880373906509]
[551.993962130453, -511.769485459438, -60.02749196557825]
[605.5805446507252, -533.8565869709444, -76.2874443516459]
[669.0456072194212, -560.2181416978027, -96.57108897288403]
[744.2919874954918, -591.7213218558409, -121.87518901634233]
[833.5919414381203, -629.4087919487891, -153.42614731891666]
[939.6227955489232, -674.5179134459642, -192.7136488106022]
[1065.4833874911471, -728.4917010231877, -241.51680080900752]
[1214.6772054720143, -792.9748864059943, -301.91426770306066]
[1391.0455163665315, -869.7870439723557, -376.2674640890771]
[1598.6338991256139, -960.8645497957333, -467.1647272876461]
[1841.4806007579998, -1068.1652205231026, -577.3159692365032]
[2123.326686000777, -1193.5346732651806, -709.3930112413046]
[2447.265965027395, -1338.541838105584, -865.8211540500337]
[2815.3739876386458, -1504.3012649022633, -1048.541227510334]
[3228.3734747237763, -1691.3088892105336, -1258.774803547616]
[3685.400309678029, -1899.3218759447764, -1496.833236429293]
[4183.92366534401, -2127.3090269733875, -1762.0090548704545]
[4719.846120311277, -2373.485772729142, -2052.5745911687977]
[5287.772307014385, -2635.4303202367983, -2365.8909186073206]
[5881.400016609988, -2910.260806905606, -2698.607239424848]
[6493.966975348283, -3194.8427585210275, -3046.914411079229]
[7118.684726372647, -3485.9944270046894, -3406.8107170238454]
[7749.105604459926, -3780.6637345290164, -3774.34321474499]
